Company,Industry,Size,Location,Funding Stage,Funding Amount,Investors,Decision Maker,Title,Email,Website,Score,Source,Spend Signals,Outreach Status,Date Contacted
Traba,Supply Chain / Marketplace / AI,101-200,New York NY USA,Series A,$45M,"Founders Fund Khosla Ventures General Catalyst",CEO/Founder,CEO,first@traba.work,https://traba.work,95,TopStartups.io,"High vendor spend logistics; Rapid scaling; Governance pressure; Procurement complexity",,
Adaptive Security,Cybersecurity / AI / Enterprise Software,101-200,New York NY USA,Series B,$81M,"Andreessen Horowitz OpenAI NVIDIA Bain Capital",CEO/Founder,CEO,first@adaptivesecurity.com,https://adaptivesecurity.com,92,TopStartups.io,"Premium AI tooling; Top-tier investors; Rapid vendor sprawl; NYC costs",,
Omnea,Procurement / AI / Enterprise Software,101-200,London UK,Series B,$50M,"Accel Khosla Ventures Insight Partners",CEO/Founder,CEO,first@omnea.co,https://omnea.co,90,TopStartups.io,"Procurement platform irony; Multi-location; Series B scaling",,
Rilla,AI / Sales / Conversation Intelligence,101-200,New York NY USA,Series B,$40M,"Crew Capital Bessemer Ventures Google Ventures",CEO/Founder,CEO,first@rilla.com,https://rilla.com,88,TopStartups.io,"High compute costs; Series B margin pressure; NYC premium; Sales tech stack",,
Graphite,AI / SaaS / Developer Tools,11-50,New York NY USA,Series B,$52M,"Andreessen Horowitz Accel",CEO/Founder,CEO,first@graphite.dev,https://graphite.dev,86,TopStartups.io,"High compute costs; Burn scrutiny; Dev SaaS subscriptions",,
Clay,AI / SaaS / Data Enrichment,11-50,New York NY USA,Series B,$40M,Sequoia,CEO/Founder,CEO,first@clay.com,https://clay.com,85,TopStartups.io,"High API/data costs; Unicorn governance; NYC premium",,
Camber Health,Healthcare / FinTech,51-100,New York NY USA,Series B,$30M,"Andreessen Horowitz Y Combinator",CEO/Founder,CEO,first@camber.health,https://camber.health,84,TopStartups.io,"Complex vendor ecosystem; Optimization phase; Regulatory pressure",,
Nooks,AI / Sales / Dialing Platform,51-100,San Francisco CA USA,Series B,$43M,Kleiner Perkins,CEO/Founder,CEO,first@nooks.ai,https://nooks.ai,82,TopStartups.io,"High telecom spend; SF premium; Sales tech tools",,
Decagon,AI / Enterprise Software / Support,11-50,San Francisco CA USA,Series B,$65M,"Andreessen Horowitz Accel",CEO/Founder,CEO,first@decagon.ai,https://decagon.ai,81,TopStartups.io,"High compute costs; Enterprise vendor stack; Board burn pressure",,
Newlimit,Biotech / Healthcare / Longevity,11-50,San Francisco CA USA,Series B,$130M,Founders Fund,CEO/Founder,CEO,first@newlimit.com,https://newlimit.com,80,TopStartups.io,"High lab equipment spend; Governance pressure; Capital-intensive",,
Gridline,FinTech / Investing / B2B Software,20-80,United States,Series A,$18.5M,Undisclosed,CEO/Founder,CEO,first@gridline.co,https://gridline.co,78,GrowthList,"Complex vendor stack; Fresh capital; FinTech compliance costs",,
Evaro,Healthcare / AI / B2B Software,20-80,United Kingdom,Series A,$25M,Undisclosed,CEO/Founder,CEO,first@evaro.com,https://evaro.com,78,GrowthList,"High compute costs; Healthcare regulatory spend; UK market",,
Concourse,FinTech / AI / Analytics / Data,20-60,United States,Series A,$12M,Undisclosed,CEO/Founder,CEO,first@concourse.co,https://concourse.co,72,GrowthList,"High data vendor spend; Recent funding; Data platform costs",,
Opendate,B2B Software / Entertainment / Hospitality,20-60,United States,Series A,$14M,Undisclosed,CEO/Founder,CEO,first@opendate.io,https://opendate.io,70,GrowthList,"Seasonal vendor complexity; Recent funding; SaaS stack",,
Sprinter Health,Healthcare / Medical Services,11-50,San Francisco CA USA,Series B,$32M,"Andreessen Horowitz Accel",CEO/Founder,CEO,first@sprinterhealth.com,https://sprinterhealth.com,68,TopStartups.io,"Medical supply spend; Mobile operations complexity; Series B phase",,
Socket,SaaS / Cybersecurity / Developer Tools,11-50,Remote,Series B,$40M,Andreessen Horowitz,CEO/Founder,CEO,first@socket.dev,https://socket.dev,66,TopStartups.io,"High infrastructure; Distributed vendor mgmt; a16z backed",,
Vivodyne,AI / Biotech / Healthcare,11-50,San Francisco CA USA,Series A,$40M,Khosla Ventures,CEO/Founder,CEO,first@vivodyne.com,https://vivodyne.com,65,TopStartups.io,"Lab equipment spend; Robotics vendor stack; Biotech procurement",,
World Labs,AI / Spatial Intelligence,11-50,San Francisco CA USA,Series A,$230M,Andreessen Horowitz,CEO/Founder,CEO,first@worldlabs.ai,https://worldlabs.ai,64,TopStartups.io,"Massive compute spend; Billion-dollar governance; Research costs",,
Stainless,SaaS / Enterprise Software / APIs,11-50,New York NY USA,Series A,$25M,"Andreessen Horowitz Sequoia",CEO/Founder,CEO,first@stainlessapi.com,https://stainlessapi.com,63,TopStartups.io,"API infrastructure costs; Dual top-tier investors; NYC costs",,
Metergrid,Energy / B2B Software / Utilities,20-60,Germany,Series A,$11.9M,Undisclosed,CEO/Founder,CEO,first@metergrid.de,https://metergrid.de,62,GrowthList,"Complex vendor ecosystem; Recent funding; EU market opportunity",,
