Company Name,Country,City,Stage,Valuation ($M),Total Funding ($M),Sector,Strategic Fit Score,Priority,Key Investors,Strategic Rationale
Shield AI,USA,San Diego,Growth (F-1),5600,1400,AI/Autonomous Systems,95,1,"Founders Fund; a16z; US Innovative Technology Fund",AI-powered autonomous systems for defense; core AI/ML capability aligns with EMS expertise; strong DoD contracts
Saronic Technologies,USA,Austin,Series B,4000,850,Maritime ASV,92,2,"Andreessen Horowitz; 8VC; Silent Ventures",Autonomous surface vessels for defense; $392M Navy contract; maritime domain aligns with multi-domain strategy; founded by Anduril alumni
Epirus,USA,Los Angeles,Series B,,,Directed Energy/Counter-UAS,90,3,"Founders Fund; 8VC; Lockheed Martin Ventures",High-Power Microwave counter-drone systems; EW capability synergistic with EMS expertise; delivered to US Navy/MC; pennies per kill vs kinetic
Helsing,Germany,Munich/London,Series D,12600,1600,Defense AI,88,4,"General Catalyst; Saab; Daniel Ek/Prima Materia; Accel",Europe's leading defense AI company; UK MOD contracts; AI sensor fusion; dual DE/UK presence; €12B valuation
Quantum Systems,Germany,Munich,Series B+,3100,300,Drones/Counter-UAS,85,5,"Peter Thiel; Porsche SE; Airbus; Thiel Capital",AI-powered aerial intelligence; Jaeger interceptor drone; German Armed Forces contract; counter-drone capability; triple unicorn status
Hermeus,USA,Atlanta,Series B,1000,358,Hypersonic Aircraft,82,6,"Sam Altman; Khosla Ventures; Founders Fund; In-Q-Tel",Hypersonic aircraft for defense; In-Q-Tel/RTX investment; Mach 5+ capability; high-priority DoD area
Open Cosmos,UK,Harwell (Oxfordshire),Series B,,63,Space/Satellites,80,7,"ETF Partners; Trill Impact; A&G; BGF",Small satellites for Earth observation; £5.15M UK Dstl contract; space-based defense priority; UK Atlantic Constellation
Adarga Systems,UK,London,Series B,,32,AI Intelligence,78,8,"Allectus Capital; Moore Strategic Ventures; Boka",AI-powered defense intelligence; UK MOD software supplier; £12M Enterprise Agreement; Palantir-like platform
Axonius,USA,New York,Series E,2600,775,Cybersecurity Asset Management,75,9,"Lightspeed; OpenView; Stripes; Alkeon",Cyber asset management platform; Tier 1 cybersecurity priority; enterprise-grade; YC alum with strong growth
Roark Aerospace,Netherlands,,Early,,,Counter-UAS,72,10,TBD,Counter-drone detection/neutralization; AI-powered threat detection; EU-based; WAMI and hyperspectral sensors
