Date,Company Name,City,State,Industry,Est Revenue,Years in Business,Key Signals,Source,Website,Status
2026-02-18,Nick's Plumbing & Air Conditioning,Houston,TX,Plumbing/HVAC,$5M+,45+ yrs,Family-owned since 1979; 45+ years experience; Nextdoor Favorite 2023; Full-service,Google Maps/Web Search,https://www.nicksplumbing.com/,New
2026-02-18,Santhoff Plumbing Company,Houston,TX,Plumbing,$3M+,40+ yrs,40+ years experience; Master plumber; Residential/commercial; Design-build,Web Search,https://santhoffplumbingco.com/,New
2026-02-18,Perot Plumbing,Houston,TX,Plumbing,$2M+,38+ yrs,Founded 1987; Residential focus; Leak detection; Licensed #17909,Web Search,https://perotplumbing.com/,New
2026-02-18,GAP Plumbing Inc,Kingwood,TX,Plumbing,$2M+,20+ yrs,Kingwood-based; Residential/commercial; Licensed #38727; Remodeling focus,Web Search,https://www.gapplumbing.net/,New
2026-02-18,Colwell Electric,Houston,TX,Electrical,$4M+,35+ yrs,Family-owned since 1990; 2nd generation; 7 master electricians; Residential/commercial,Web Search,https://www.colwellelectric.com/,New
2026-02-18,Southern Electrical,Houston,TX,Electrical,$5M+,30+ yrs,30+ years in business; Industrial/commercial focus; Design-build; Texas corporation,Web Search,https://www.southernelectrical.com/,New
2026-02-18,Lone Star Electrical Services,Houston,TX,Electrical,$1.5M+,15+ yrs,Family-owned; 15+ years experience; Licensed/insured; Residential/commercial,Web Search,https://www.lonestarelectricalservices.com/,New
2026-02-18,John Moore Services,Houston,TX,Plumbing/HVAC/Electrical,$10M+,50+ yrs,50+ years; Best of Houston winner; Full-service; Financing available,Web Search,https://www.johnmooreservices.com/,New
2026-02-18,Village Plumbing Air & Electric,Houston,TX,Plumbing/HVAC/Electrical,$4M+,75+ yrs,75+ years; Best of Houston finalist; Family-owned; Warranties,Web Search,https://villageplumbing.com/,New
2026-02-18,Abacus Plumbing Air & Electrical,Houston,TX,Plumbing/HVAC/Electrical,$8M+,20+ yrs,20+ years; 100% satisfaction guarantee; 24/7 emergency; High ratings,Web Search,https://www.abacusplumbing.net/,New
2026-02-18,Plumbco Plumbing,Houston,TX,Plumbing,$2M+,18+ yrs,Family-owned 18+ years; Eco-friendly products; Live phone personnel; Transparent pricing,Web Search,https://www.plumbcohouston.com/,New
2026-02-18,Quality Home Products of Texas,Houston,TX,Plumbing/Water Treatment,$5M+,35+ yrs,Since 1989; 77K+ customers; Water heaters/treatment specialization,Web Search,https://qualitytx.com/,New
