Company Name,Sector,Stage,Funding Raised,Valuation,HQ Location,Employees,Strategic Fit Score,Priority Tier,Geography,Technology Focus,Recent Contracts/News,M&A Considerations,Contact Status
Anduril Industries,AI/Autonomous Systems,Series E (Pre-IPO),$3.5B+,~$28B,Costa Mesa CA,3000+,92,Tier 1 - Critical,United States,Counter-Drone AI Platform Lattice,$250M+ CUAS contract Ukraine,High valuation partnership preferred,Not Contacted
Shield AI,AI Pilot Autonomous Systems,Series F,$1B+,~$2.8B,San Diego CA,800+,88,Tier 1 - Critical,United States,Hivemind AI Pilot NOVA V-BAT,Active combat deployment Ukraine,IPO path likely licensing opportunity,Not Contacted
Epirus,Counter-Drone HPM,Series C,~$300M,~$1.5B,Torrance CA,400+,90,Tier 1 - Critical,United States,Leonidas High-Power Microwave,$66M Army contract Stryker integration,Clear acquisition target strong team,Not Contacted
Saronic,Maritime Autonomy USVs,Series B,~$175M,~$600M,Austin TX,200+,82,Tier 2 - High Value,United States,Spyglass Cutlass ASV platforms,US Navy autonomous vessel programs,Early stage attractive valuation,Not Contacted
Skydio,Autonomous Drones AI,Series E,~$1B,~$2.2B,San Mateo CA,1500+,85,Tier 1 - Critical,United States,Computer Vision GPS-denied flight,China blacklist defense pivot,Consumer business complicates M&A,Not Contacted
Helsing,AI/ML Defense,Series C,~€750M,~€5B,Munich Germany,500+,89,Tier 1 - Critical,United Kingdom/EU,Eurofighter EW AI decision-support,HENSOLDT partnership Euro CCA program,European govt ties partnership model,Not Contacted
QinetiQ Spin-outs,Defense R&D,Pre-seed to Series A,N/A,N/A,Farnborough UK,Varies,78,Tier 2 - High Value,United Kingdom,DST heritage cyber EW spectrum,UK MoD spin-out pipeline,Focus on early-stage only,Not Contacted
BAE Systems Applied Intel,Cyber Defense,Division,N/A,N/A,London UK,3500+,86,Tier 1 - Critical,United Kingdom,National-grade cybersecurity,National cyber defense contracts,Division-specific approach needed,Not Contacted
Rheinmetall Digital,Defense Electronics,Division,N/A,N/A,Dusseldorf Germany,2000+,84,Tier 2 - High Value,European Union,Military networks cyber defense,NATO relationships,Corporate acquisition structure,Not Contacted
Thales Cyber Digital,Cybersecurity,Division,N/A,N/A,Paris France,5000+,87,Tier 1 - Critical,European Union,Military encryption secure comms,EU defense contracts,Complementary to EMS capabilities,Not Contacted
Ekagrata,Defense VC,Fund,$50M,N/A,Bengaluru India,Team only,93,Critical Priority,India,Pure-play defense tech fund,India defense tech investments,Fund investment not acquisition,Not Contacted
Speciale Invest,Deep Tech VC,Fund,$100M,N/A,Chennai India,Team only,92,Critical Priority,India,Aerospace defense robotics,Drone autonomous systems portfolio,Co-investment partner for targets,Not Contacted
3one4 Capital,Multi-sector VC,Fund,$500M,N/A,Bengaluru India,Team only,86,High Priority,India,Dual-use technology B2B,Enterprise defense applications,Co-investment partner,Not Contacted
Stellaris Venture Partners,Enterprise Tech,Fund,$400M,N/A,Bengaluru India,Team only,84,High Priority,India,Enterprise SaaS deep tech,Deep tech defense applications,Co-investment partner,Not Contacted
Athera Venture Partners,Deep Tech VC,Fund,$300M,N/A,Bengaluru India,Team only,83,High Priority,India,Robotics AI,Robotics defense applications,Co-investment partner,Not Contacted
pi Ventures,AI/ML VC,Fund,$50M,N/A,Bengaluru India,Team only,82,High Priority,India,AI ML robotics,AI defense applications,Co-investment partner,Not Contacted
Peak XV Partners,Growth Equity,Fund,$9B,N/A,Singapore/Mumbai,Team only,89,High Priority,India,Multi-sector defense interest,Large check sizes defense tech,Co-investment partner,Not Contacted
Kalaari Capital,Multi-sector VC,Fund,$700M,N/A,Bengaluru India,Team only,91,High Priority,India,Defense aerospace portfolio,Active defense investments,Co-investment partner,Not Contacted
