Company Name,Industry,Location,Funding Status,Employees,Service Need,Signal Source,Budget Estimate,Referral Potential,Next Action
Apptronik,AI/Robotics,Austin TX,Series A $403M,100-250,IT Services/Cybersecurity,Funding Announcement,High ($50K+),$5K-10K,Research CTO contact
NinjaOne,IT Endpoint Management,Austin TX,Series C $500M,200-500,HR/Payroll Services,Hiring Signal,High ($30K+),$3K-5K,Check careers page
Mercor,AI Recruiting,San Francisco CA,Series B $133M,50-200,Legal Services (Employment),Funding + Hiring,Medium ($15K),$3K-5K,Find Head of People
Together AI,AI Infrastructure,SF Bay Area,Series B $305M,100-250,Accounting/CFO Services,Growth + Scale,High ($50K+),$5K-10K,Research finance team
Harvey,AI Legal Tech,San Francisco CA,Series B $300M,50-200,Business Consulting,Rapid Growth,High ($40K+),$5K-8K,Find COO contact
Abridge,AI Healthcare,Pittsburgh PA,Series D $250M,100-250,IT/Cybersecurity,Compliance Needs,High ($40K+),$5K-10K,Avoid - Healthcare
Listen Labs,AI Market Research,San Francisco CA,Series A $27M,11-50,Accounting/CFO Services,Early Stage Growth,Medium ($10K),$2K-4K,Research founder contacts
Depict.ai,E-commerce/AI,Stockholm Sweden,Series A $19.9M,11-50,Marketing Services,Expansion Mode,Medium ($8K),$2K-3K,Find CMO contact
Daydream,AI Shopping,NYC/Remote,Seed Round,1-50,Digital Marketing/Growth,Pre-Series A,Medium ($5K),$1K-2K,Monitor for Series A
Fabric,E-commerce/SaaS,Seattle WA,$293M Total,200-500,IT Services/Cloud,Hiring Aggressively,High ($30K+),$5K-8K,Research tech stack needs
Pogo,FinTech/Consumer,Brooklyn NY,Series A 2025,11-50,Accounting/CFO Services,Financial Product,Medium ($10K),$2K-4K,Find finance lead
Glean,AI Enterprise Search,SF Bay Area,$560M Total,200-500,HR/IT/Legal Services,Rapid Scale,High ($50K+),$5K-10K,Research vendor needs
Traba,Industrial/AI,New York NY,Series A $45M,101-200,HR/Payroll Services,Growth Stage,High ($20K),$4K-6K,Find Head of Operations
Render,Cloud Platform,San Francisco CA,Series A 2025,11-50,IT/Cybersecurity,Technical Product,Medium ($10K),$2K-4K,Research CTO needs
Vivodyne,AI Drug Discovery,SF Bay Area,Series A $40M,11-50,Legal/IP Services,IP Protection Need,Medium ($12K),$3K-5K,Find legal counsel
