Company Name,Industry,Funding Amount,Funding Round,Location,Service Needs,Estimated Budget,Source,Date,Referral Potential
Braintrust,AI Observability,$80M,Series B,San Francisco CA,Accounting; Legal; IT Services; HR,High (needs full finance team),Axios/TechCrunch,2026-02-17,Strong - scaling engineering team
World Labs,Spatial AI,$1B,Private,San Francisco CA,Accounting; Legal; IT Services; HR; Business Consulting,Very High (backed by NVIDIA AMD),Reuters/TechCrunch,2026-02-18,Very Strong - major scale-up
Freeform,AI Manufacturing,$67M,Series B,Los Angeles CA,Accounting; Legal; IT Services; HR; Security,High (scaling production),TechCrunch,2026-02-19,Strong - manufacturing expansion
Onshore (SPRX),AI Tax Platform,$31M,Series B,New York NY,Legal; IT Services; HR; Business Consulting,High (growing to $46M total),BusinessWire/Finsmes,2026-02-18,Strong - tax services vertical
Goodfire,AI Research,$150M,Series B,San Francisco CA,Accounting; Legal; IT Services,High (B Capital led),TechCrunch,2026-02-05,Strong - AI lab scaling
Kavak,Used Car Marketplace,$300M,Equity Round,Mexico City,Latin America,Legal; IT Services; Business Consulting,Very High (a16z backing),Bloomberg,2026-02-17,Moderate - international complexity
Temporal,Dev Infrastructure,$300M,Series D,Seattle WA,Accounting; Legal; IT Services; HR,Very High ($5B valuation),GeekWire,2026-02-17,Very Strong - major unicorn
ElevenLabs,Voice AI,$500M,Series D,London UK/USA,Accounting; Legal; IT Services; HR; Marketing,Very High ($11B valuation),TechCrunch,2026-02-04,Very Strong - rapid expansion
Runway,AI Video,$315M,Series C,New York NY,Accounting; Legal; IT Services,Very High ($5.3B valuation),TechCrunch,2026-02-10,Strong - creative tech
Inscope,Accounting Workflow,$14.5M,Series A,San Francisco CA,Legal; IT Services; HR,Medium (accounting adjacent),Ventureburn,2026-02-21,Moderate - may have accounting handled
Heron Power,Energy Grid,$140M,Series B,USA,Accounting; Legal; IT Services; HR; Consulting,High (a16z + Breakthrough Energy),Manila Times,2026-02-18,Strong - infrastructure play
Navan,Corporate Spend,$465M,Funding,USA,Accounting; Legal; IT Services; HR,Very High (a16z commitment),Motley Fool,2026-02-18,Very Strong - travel/spend management
