Partner,Type,Focus,Referral Fee,Status,Website,Notes
Basis 365,Accounting/Bookkeeping,Small business accounting,$1K-10K/month value,PROSPECT,https://www.basis365.com/accounting-bookkeeping-referral-partner-rewards-program,Monthly pricing $1K-10K - clear referral structure
iSolved HCM,Accounting/Payroll,CPAs and bookkeepers,Competitive referral fee,PROSPECT,https://www.isolvedhcm.com/partner/preferred/accountists,Growing community of accounting professionals
Ramp,Accounting/Finance,Accounting firms,Partner benefits,PROSPECT,https://ramp.com/accounting-partnerships,Dedicated partner team and onboarding
Expensify,Accounting/Expense,Accountants program,Commission on referrals,PROSPECT,https://use.expensify.com/accountants-program,White-glove treatment for qualified firms
BILL,Accounting/AP,CPA.com partnership,Commission on direct subscribers,PROSPECT,https://www.cpa.com/bill,Spend & Expense focus
OnPay,Payroll/HR,Accounting partners,Exclusive perks,PROSPECT,https://onpay.com/ledger/strategic-referral-building,The Ledger resource for partners
GFI Software,IT/MSP,MSP partners,$300/month for 3 months + MDF,PROSPECT,https://gfi.ai/partners/msp-partner-program,Market development fund for partners
InfraSOS,IT/Monitoring,MSP referrals,30% lifetime commission,ACTIVE,https://infrasos.com/msp-partner-program-earn-commission-from-referrals/,Lifetime commissions on subscriptions
NordLayer,IT/Security,Network security,High commission rates,ACTIVE,https://nordlayer.com/partner-program/,MSP-focused with generous margins
Cytellix,Cybersecurity,SMB security,Referral fees,PROSPECT,https://www.cytellix.com/partner-program,Cybersecurity for SMBs
CyberSecOp,Security Consulting,Enterprise security,Bi-annual rebates,PROSPECT,https://cybersecop.com,Enterprise-grade security
Aspen HR,PEO/HR,Fund admins CPAs attorneys,Referral partnership,PROSPECT,https://aspenhr.com/peo-referral-partners/,Trusted PEO referral partner
HRDelivered,PEO/HR,Brokers,Referral partnership,PROSPECT,https://hrdelivered.com/peo-referral-partnership/,Comprehensive HR services
PrestigePEO,PEO/HR,Small-mid businesses,25+ years experience,PROSPECT,https://prestigepeo.com/,National PEO services
ADP TotalSource,PEO/Payroll,Enterprise HR,Partner benefits,PROSPECT,https://www.adp.com/what-we-offer/hr-outsourcing-and-peo/professional-employer-organization.aspx,Comprehensive HR platform
Paychex PEO,PEO/HR,Full-service PEO,Partner program,PROSPECT,https://www.paychex.com/peo,Relationship manager support
CliqT Digital,Marketing,Digital marketing,Recurring commissions,PROSPECT,https://cliqtadigital.com/digital-marketing-referral-program/,Streamlined tracking and payouts
Top Marketing Agency,Marketing,Full-service,Commission on referrals,PROSPECT,https://topmarketingagency.com/client-referral-program/,SEO PPC web design social media
Mega Digital,Marketing,Ad agency,1% of ad spend lifetime,PROSPECT,https://megadigital.ai/en/referral-program/,Up to 1% commission on total ad spend
Indie Law,Legal,Trademark law,$600 per referral,ACTIVE,https://www.indielaw.com/referralprogram/,Clear $600 flat fee per referral
Overture Law,Legal,Attorney-to-attorney,Fee splits,PLATFORM,https://overture.law/,Referral platform for solos & small firms
Nextlaw Network,Legal,Global legal network,No membership fees,PLATFORM,https://www.nextlawnetwork.com/,Technology platform for lawyer referrals
Global Referral Network,Legal/Business,Member firms,Referral network,PLATFORM,https://globalreferral.group/,Global network for client referrals
Tanium,Security,Reseller/MSP,Enhanced tier benefits,PROSPECT,https://www.crn.com/news/security/2025/2025-partner-program-guide-5-star-security-vendor-programs,5-star CRN rated program
AWS MSP,Cloud/MSP,Managed services,Strategic incentives,PROSPECT,https://aws.amazon.com/blogs/apn/new-benefits-for-aws-managed-services-provider-partners/,New benefits announced Dec 2025
