Company Name,Industry,Location,Est. Revenue,Est. EBITDA,Years in Business,Source,Contact Status,Notes
Quigley Heating & Air,HVAC,Dallas TX,$5M+,$500K+,80 years,Google Maps/Tavily,Not contacted,Family-owned since 1945 - 3 generations
1st Class Heat & Air,HVAC,Dallas TX,$3M+,$300K+,40 years,Google Maps/Tavily,Not contacted,Family-owned since 1984 - A+ BBB rating
Mathis Air & Heat,HVAC,Mesquite TX,$2M+,$200K+,20+ years,Tavily,Not contacted,Full service AC/heat repair
Quality 1 Energy Systems,HVAC,Garland TX,$4M+,$400K+,35 years,Tavily,Not contacted,Family-owned since 1989 - engineering focus
Legacy Heating & Air LLC,HVAC,Dallas TX,$2M+,$200K+,10+ years,Tavily,Not contacted,Family-owned & operated
Varsity Zone HVAC,HVAC,Roanoke TX,$1.5M+,$150K+,5+ years,Tavily,Not contacted,Strong growth trajectory
Team Enoch Dallas,HVAC,Dallas TX,$5M+,$500K+,15+ years,Tavily,Not contacted,4.8 rating Forbes - established
Medley Heating & Air,HVAC,Carrollton TX,$3M+,$300K+,20+ years,Tavily,Not contacted,5-star rated - established
Freedom Heating & Air,HVAC,Lancaster TX,$2M+,$200K+,15 years,Tavily,Not contacted,Serving Dallas area since 2010
Air Clinic,HVAC,Grand Prairie TX,$4M+,$400K+,15+ years,Tavily,Not contacted,Full-service HVAC contractor
Alpha Heating & Cooling,HVAC,Dallas TX,$3M+,$300K+,15+ years,Tavily,Not contacted,4.7 rated - established operations
Moss Heating & Cooling,HVAC,DFW TX,$5M+,$500K+,20+ years,Tavily,Not contacted,20+ years DFW experience
