Company Name,Country,City,Sector,Stage,Valuation ($M),Total Funding ($M),Strategic Fit Score,Priority,Key Technology,Recent Wins,CEO/Contact,Notes
Shield AI,USA,San Diego,AI/ML for Defense,Series E+,2800,198+,96,1,V-BAT autonomous drone; Hivemind AI pilot; GPS-denied navigation,$198M US Coast Guard contract; Ukraine deployment proven,Brandon Tseng,Highest priority - GPS-denied navigation aligns with EW expertise
Skydio,USA,San Mateo,Counter-Drone/UAS,Series E+,2200,170+,95,1,Autonomous obstacle avoidance; Computer vision; US-made drones,$1.2B+ bookings; 50%+ defense; China sanctions create opportunity,Adam Bry,Largest US drone maker - C-UAS integration opportunity
Helsing AI,UK/Germany/France,London/Munich/Paris,AI Defense / Strike Systems,Series D,5000+,1050,94,1,AI battlefield software; HX-2 strike drones; EW upgrades for Eurofighters,€1.46B German military contract; NATO/Ukraine partnerships,Gundbert Scherf / Torsten Reil,Europe's defense AI leader - EW integration focus
Adarga,UK,London,AI Information Intelligence,Series A/B,,20+,91,1,Vantage AI platform; Agentic AI for intelligence; Multi-classification deployment,£12M UK MOD contract (2025); Multi-year renewal,Robert Bassett Cross,UK MOD trusted - data analytics for EMS ops
Rebellion Defense,USA,Washington DC,AI Defense Software / Cybersecurity,Unicorn,,,91,1,Iris situational awareness; Nova cybersecurity platform; Predictive threat modeling,Unicorn status (2021); DC policy proximity,,Cyber+physical defense convergence - Palantir alternative
Theseus,USA,Silicon Valley,GPS-Denied Navigation,Seed,4,4+,90,1,Visual positioning without GPS; Jamming-resistant navigation; Satellite imagery integration,Sold to US Special Forces; $4M+ seed funding,,Critical EW synergy - GPS jamming resilience
Scout AI,USA,Silicon Valley,AGI for Military Robotics,Seed,,15,89,1,Fury VLA model; Universal robot control; Hardware-agnostic AGI brain,Won 2 DoD contracts; $15M seed; Figure AI board connection,Colby Adcock,Next-gen warfare robotics - EW-enabled platforms
Saronic Technologies,USA,Austin,Autonomous Surface Vessels,Series B,1000+,175,89,1,Spyglass/Cutlass/Corsair autonomous vessels; Rapid deployment capability,Unicorn status 2024; $175M Series B (a16z),,Naval domain expansion - maritime EW integration
ARX Robotics,Germany,Munich,Autonomous Ground Systems,Series A,,9,85,1,GEREON modular UGVs; Medical evacuation; Combat tested,Deployed Germany/Austria/Switzerland/Hungary/Ukraine; NATO Innovation Fund backed,,European ground robotics - EW-integrated UGVs
Ares Industries,USA,El Segundo,Low-Cost Munitions,Seed/Series A,,,86,1,10x cheaper anti-cruise missiles; Rapid prototyping; Mass production,First YC weapons startup; Flight-tested in 11 weeks,,YC-backed; disrupting Lockheed/Raytheon
Mach Industries,USA,Huntington Beach,Low-Cost Cruise Missiles,Series B,470,185,83,2,Viper VTOL cruise missile; 180-mile range; <$100K/unit; Popup factories,Raising $100M at $470M valuation; MIT dropout founder,Ethan Thornton,Cost-effective precision strike
Alloyed,UK,Oxford,Advanced Materials,Series A/B,,37,78,2,AI-powered Alloys-by-Design; High-performance defense metals; Hypersonic applications,£37M+ raised; SPARX/DBJ investors,,Materials science edge
SatVu,UK,London,Space-Based Defense,Series B,,30,84,1,Thermal imaging satellites; Sovereign thermal capability; Activity assessment,£30M Series B (NATO Innovation Fund lead); UK defense innovation loan,,Space domain; NATO-backed
BforeAI,France,,Predictive Cybersecurity,Series A,,24,82,2,Predictive attack intelligence; Behavioral AI; Critical infrastructure protection,$24M+ raised,,Cyber-EW convergence
Akhetonics,Germany,,Photonic Computing,Early,,6,75,2,All-optical chips; Terahertz computing; Quantum-inspired defense processing,€6M raised; Leibniz Institute backed,,Next-gen EW computing
