Company Name,Service Type,Website,Referral Commission,Contact Method,Notes,Date Added
DAVO Sales Tax,Accountant Referral,https://www.davosalestax.com,$50 per location,Accountant referral program,Referral bonus for client locations,2025-02-15
CPAClub,Accounting Network,https://cpaclub.cpa,Exclusive perks,Ally page,Referral unlocks exclusive perks,2025-02-15
Future Firm,Accounting Referral Programs,https://futurefirm.co,10-15% typical,Resource page,Accounting firm referral program guide,2025-02-15
2026-02-15,Alpha Consulting,Fractional CFO,Professional Services,10% first year,5000,Jane Doe,jdoe@alphaconsulting.com,Signed,Email CC + CRM,Net 30,Tier 1,90,Active partner - 3 closed referrals last quarter
Block Advisors,Bookkeeping,https://www.blockadvisors.com,Up to $300,Refer a friend,Freelancer/small business bookkeeping,2025-02-15Company Name,Service Type,Website,Referral Commission,Contact Method,Notes,Date Added
JHensley Consulting,Business Consulting,https://www.jhensleyconsulting.com,$250-3500,Referral program,Managed services consulting - $250 per qualified referral,2025-02-15
FortifyData,Cybersecurity Risk,https://fortifydata.com,Commission-based,Partner page,MSP/MSSP/vCISO partner program,2025-02-15
Defense.com,Cybersecurity/MSP,https://www.defense.com,Commission-based,Partner signup,Exclusive MSP partner program - hands-on sales support,2025-02-15
Green Lotus,Digital Marketing,https://www.greenlotus.ca,10% monthly recurring,Website form,SEO/digital marketing - 10% for life,2025-02-15
GrowME Marketing,Digital Marketing,https://growmemarketing.ca,25% commission,Affiliate signup,Top-rated Canadian agency - 25% commission,2025-02-15
SocialJack Media,Digital Marketing,https://www.socialjackmedia.com,Commission-based,Referral partner signup,Social media marketing focus,2025-02-15
TopMarketingAgency,Full-Service Marketing,https://topmarketingagency.com,Commission-based,Client referral program,Company Name,Service Type,Website,Referral Commission,Contact Method,Notes,Date Added
Amplify HR,HR/Payroll,https://www.amplifyhr.com,One-time referral bonus,Refer-us page,Referral commission structure for clients/partners,2025-02-15
Bell Legal Group,Law Firm Partnerships,https://www.belllegalgroup.com,Case-by-case,Partnership framework,Framework for law firm partnerships,2025-02-15
Global Referral Network,Legal Referral Network,https://globalreferral.group,Network fees,Membership,Leading global legal referral network,2025-02-15
Aspen HR,PEO Services,https://aspenhr.com,Commission-based,PEO referral partners,Trusted PEO partnership solutions,2025-02-15
EESI PEO,PEO Services,https://www.eesipeo.com,Commission-based,Referral page,Professional Employer Organization referral program,2025-02-15
ExtensisHR,PEO Services,https://extensishr.com,Commission-based,Broker partnership,Broker-centric business model,2025-02-15Date,Company_Name,Service_Type,Vertical,Fee_Structure,Fee_Amount,Contact_Name,Contact_Email,Agreement_Status,Attribution_Method,Payment_Terms,Vertical_Priority,Score,Notes
PEO Benefit Partners,PEO/HR,https://www.peobenefitpartners.com,Lifetime recurring commission,Become a partner,Recurring revenue for lifetime of client,2025-02-15
Engage PEO,PEO/HR Outsourcing,https://www.engagepeo.com,Commission-based,Broker program,Leading PEO for SMBs across US,2025-02-15
HRDelivered,PEO/HR Services,https://hrdelivered.com,Commission-based,Partner signup,Broker channel partnership program,2025-02-15
BBSI,PEO/Payroll/HR,https://www.bbsi.com,Commission-based,Partner signup,P&C brokers and CPA partners - Lifetime commissions,2025-02-15
Vizion,PPC Marketing,https://www.vizion.com,Percentage of management fee,Website form,PPC/paid search referral program,2025-02-15
impact.com,Partnership Platform,https://impact.com,Up to $30K per referral,Referral partner program,Partnership automation platform,2025-02-15Company Name,Service Type,Website,Referral Commission,Contact Method,Notes,Date Added
Hybrid Payroll,Payroll Services,https://hybridpayroll.com,Commission-based,Partner signup,Payroll referral program - fast risk-free partnership,2025-02-15
SEO Discovery,SEO Services,https://www.seodiscovery.com,Up to 25% commission,Website form,SEO/digital marketing referral program,2025-02-15
BrandHeight,SEO/Digital Marketing,https://www.brandheight.com,Commission-based,Referral program page,SEO and digital marketing services,2025-02-15
Shortlist.io,SEO/Marketing,https://shortlist.io,10% (6-month contract),Partner signup,White-label SEO services,2025-02-15
Intuit ProConnect,Tax Software,https://accountants.intuit.com,Up to $500 per referral,Referral program,Professional tax software referral,2025-02-15
CRN 5-Star Security Vendors,Various Security,https://www.crn.com/news/security/2025,Varies by vendor,Vendor websites,2025 Partner Program Guide - 5-star programs,2025-02-15Company Name,Service Type,Website,Referral Commission,Contact Method,Notes,Date Added
OpenPotion,Web Design,https://www.openpotion.com,$300-1000 per referral,Partner page,10% commission on web design,2025-02-15
Grandway Marketing,Web Design/SEO,https://grandwaymarketing.com,Up to $1000 per referral,Website form,Website/SEO/marketing referrals,2025-02-15
