Company Name,Country,Sector,Stage,Valuation ($M),Total Raised ($M),Strategic Fit Score,Acquisition Likelihood,Primary Technology,Recent Milestones,Website,LinkedIn,Contact Status,Mandate Status,Next Steps
Helsing,Germany,AI/ML Defense,Series D,13000,1370,95,Low,AI-powered drones & EW systems,€600M Series D; €12B valuation; CA-1 Europa drone unveiled,helsing.ai,linkedin.com/company/helsing-ai,Not Contacted,No Mandate,Monitor for partnership opportunities
Anduril Industries,USA,Autonomous Systems,Pre-IPO,28000,3000,92,Very Low,Lattice OS & autonomous platforms,Planning 2026 IPO; $200M Marine Corps contract,anduril.com,linkedin.com/company/anduril-industries,Not Contacted,No Mandate,Monitor IPO timeline
Scale AI,USA,AI/ML Defense,Late Stage,14000,1000,88,Low,Defense Llama LLM; ISR processing,Nearly $14B valuation; enterprise + defense dual-use,scale.com,linkedin.com/company/scale-ai,Not Contacted,No Mandate,AI integration partnership
Saronic Technologies,USA,Maritime Autonomy,Series C,1000,775,85,Low,Autonomous surface vessels,$600M Series C led by a16z; Austin unicorn,saronic.com,linkedin.com/company/saronic-technologies,Not Contacted,No Mandate,Maritime domain partnership
Shield AI,USA,Autonomous Drones,Series F,2800,1000,90,Medium,GPS-denied navigation; Hivemind AI,$198M Coast Guard contract; combat proven in Ukraine,shield.ai,linkedin.com/company/shield-ai,Not Contacted,No Mandate,High priority target - navigation tech
Epirus,USA,Counter-Drone (C-UAS),Series B/C,500,200,88,Medium,High-power microwave counter-drone,$66M Army contract; Leonidas system,epirusinc.com,linkedin.com/company/epirus,Not Contacted,No Mandate,C-UAS capability priority
Vannevar Labs,USA,SIGINT/AI,Series B,400,100,82,Medium,AI foreign communications intel,~$100M DIU production contract,vannevarlabs.com,linkedin.com/company/vannevar-labs,Not Contacted,No Mandate,SIGINT expansion opportunity
STARK,France,Autonomous Drones,Growth,Unknown,Unknown,80,Medium,Loitering munitions; swarm tech,Acquired Pleno; expanding across EU,stark-defence.com,linkedin.com/company/stark-defence,Not Contacted,No Mandate,EU market access
Comand AI,France,Command & Control,Series A,50,9,78,High,AI targeting & C2 systems,€8.9M Series A; 40% targeting latency reduction,comand.ai,linkedin.com/company/comand-ai,Not Contacted,No Mandate,High acquisition likelihood - approach
Quantum Systems,Germany,ISR Drones,Growth,500,207,76,Low,Long-endurance ISR drones; swarm tech,$207M raised; NATO integration,quantum-systems.com,linkedin.com/company/quantum-systems,Not Contacted,No Mandate,ISR capabilities
Skydio,USA,Autonomous Drones,Late Stage,2200,1200,82,Very Low,Autonomous drone navigation,Largest US drone manufacturer; $170M Series E extension,skydio.com,linkedin.com/company/skydio,Not Contacted,No Mandate,Monitor for partnership
Rebellion Defense,USA,AI/Cybersecurity,Unicorn,1000,500,80,Low,Iris threat detection; Nova cyber testing,Achieved unicorn status 2021,rebelliondefense.com,linkedin.com/company/rebellion-defense,Not Contacted,No Mandate,Cyber defense capabilities
CHAOS Industries,USA,Networking/EW,Series B,800,215,78,Low,Coherent Distributed Network,$145M raise; Accel-backed,chaosindustries.com,linkedin.com/company/chaos-industries,Not Contacted,No Mandate,EW networking capabilities
Firestorm,USA,Modular Drones,Series A,150,33,75,High,3D-printed modular drones,$32.5M raised; Lockheed Martin Ventures backing,firestorm.com,linkedin.com/company/firestorm,Not Contacted,No Mandate,Rapid manufacturing capability
Ares Industries,USA,Cruise Missiles,Seed/Series A,50,5,75,High,Low-cost anti-cruise missiles,First YC weapons startup; flight tested in 11 weeks,aresindustries.com,linkedin.com/company/ares-industries,Not Contacted,No Mandate,Approach - early stage
Theseus,USA,GPS-Denied Navigation,Seed,25,4,80,High,Visual positioning for drones,YC-backed; $4M+ raised; sold to US Special Forces,theseus.ai,linkedin.com/company/theseus,Not Contacted,No Mandate,Approach - navigation tech
Mach Industries,USA,VTOL Cruise Missiles,Series B,470,185,78,Medium,Budget cruise missiles ($100K/unit),Raising $100M; $470M valuation; 180-mile range,mach-industries.com,linkedin.com/company/mach-industries,Not Contacted,No Mandate,Monitor funding round
Allen Control Systems,USA,C-UAS,Series A,150,30,82,High,Bullfrog AI anti-drone system,$30M Series A; Project Convergence demo,allencontrols.com,linkedin.com/company/allen-control-systems,Not Contacted,No Mandate,C-UAS priority target
ARX Robotics,Germany,Autonomous UGVs,Growth,150,60,76,Medium,GEREON resupply vehicles,Deployed in Ukraine; ARX partnership with Helsing,arx-robotics.com,linkedin.com/company/arx-robotics,Not Contacted,No Mandate,Ground autonomy capabilities
BforeAI,Italy,Cyber Threat Intel,Series B,100,10,74,Medium,PreCrime cyberattack prediction,$10M Series B; Airbus CyberSecurity partner,bfore.ai,linkedin.com/company/bforeai,Not Contacted,No Mandate,Cyber threat intelligence
Percepto,Israel/EU,Drone Inspections,Growth,400,140,72,Low,AI drone infrastructure monitoring,$139.5M raised; Air Mobile platform,percepto.co,linkedin.com/company/percepto,Not Contacted,No Mandate,Infrastructure monitoring
Farsight Vision,UK,Geospatial Intel,Early Stage,30,5,70,High,GPS-denied 3D mapping,Deployed in active conflict zones; Ukraine operations,farsightvision.com,linkedin.com/company/farsight-vision,Not Contacted,No Mandate,Approach - early stage
Nominal,USA,Test Automation,Series B,400,100,74,Medium,Hardware-in-the-loop testing,$75M Series B led by Sequoia; Anduril customer,nominal.io,linkedin.com/company/nominal,Not Contacted,No Mandate,Defense testing platform
