Date,Partner Name,Service Vertical,Website,Referral Program,Commission Structure,Contact Person,Contact Email,Email Verified,Company Size,Geographic Focus,Notes,Status
2026-02-19,Pilot,Accounting/Bookkeeping,pilot.com,Yes - Client Referrals,TBD,TBD,TBD,No,50-200,National,"Leading startup bookkeeping/accounting - strong brand",Prospect
2026-02-19,MyStartUpCFO,Fractional CFO Services,mystartupcfo.com,Implied,TBD,TBD,TBD,No,10-50,National,"Outsourced CFO for startups - referral-friendly testimonials",Prospect
2026-02-19,Graphite Financial,Accounting/CFO/Tax,graphitefinancial.com,Implied,TBD,TBD,TBD,No,50-150,National,"Full-stack startup accounting with fractional CFOs",Prospect
2026-02-19,G-Squared Partners,Accounting/CFO,gsquaredcfo.com,Implied,TBD,TBD,No,50-200,National,"Tech startup specialists - high-growth focus",Prospect
2026-02-19,Kruze Consulting,CPA/Advisory,kruzeconsulting.com,Implied,TBD,TBD,No,50-200,National,"Leading CPA for venture-backed startups",Prospect
2026-02-19,Paro.ai,Fractional CFO/Accounting,paro.ai,Implied,TBD,TBD,No,100-500,National,"AI-powered matching for finance talent",Prospect
2026-02-19,airCFO,Accounting/Finance/HR,aircfo.com,Implied,TBD,TBD,No,50-150,National,"300+ startups served - back-office solutions",Prospect
2026-02-19,DiscoverMyBusiness,Digital Marketing,discovermybusiness.co,Yes - 20% MRR,20% Monthly Recurring,TBD,TBD,No,10-30,National,"PPC/SEO services with generous commission",Active Partner
2026-02-19,Vizion Interactive,SEO/PPC/Digital,vizion.com,Yes - Referral Program,TBD,TBD,TBD,No,50-150,National,"Full-service digital marketing - partner-friendly",Prospect
2026-02-19,Top Marketing Agency,Full-Service Marketing,topmarketingagency.com,Yes - Commission,TBD,TBD,No,50-200,National,"SEO/web design/social media referral program",Prospect
2026-02-19,Clicta Digital,Digital Marketing,clictadigital.com,Yes - Recurring Commission,Recurring,TBD,TBD,No,20-50,National,"Performance-first marketing agency",Prospect
2026-02-19,Mega Digital,Ad Agency,megadigital.ai,Yes - Referral Program,Ongoing,TBD,TBD,No,50-200,Global,"Ad account management - unique allocation feature",Prospect
2026-02-19,Mailchimp & Co,Email Marketing,mailchimp.com,Yes - Agency Partner,Commission + Directory,TBD,TBD,No,1000+,Global,"Major platform with established partner program",Active Partner
2026-02-19,ReferralCandy,Referral Software,referralcandy.com,Yes - Agency Partner,Commission + Co-marketing,TBD,TBD,No,50-200,Global,"Referral software for e-commerce - agency focused",Active Partner
2026-02-19,Impact.com,Partnership Platform,impact.com,Yes - Referral Partner,Thousands per referral,TBD,TBD,No,500+,Global,"Partnership management platform - high payouts",Active Partner
2026-02-19,BotPenguin,Chatbot/Agency,botpenguin.com,Yes - 20-30% Commission,20-30% on subscriptions,TBD,TBD,No,50-200,Global,"Agency partner program with tiered discounts",Active Partner
2026-02-19,Cytellix Corporation,Cybersecurity,cytellix.com,Yes - Referral Program,TBD,TBD,TBD,No,50-200,National,"SMB cybersecurity solutions - partner program active",Prospect
2026-02-19,NordLayer,Cybersecurity/Network,nordlayer.com,Yes - Reseller/Referral,Generous margins,TBD,TBD,No,200+,Global,"VPN/network security - MSP-focused program",Prospect
2026-02-19,CyberSecOp Consulting,Cybersecurity,cybersecop.com,Yes - Referral/Rebates,Bi-annual payments,TBD,TBD,No,50-200,National,"Security consulting - rebate program for referrals",Prospect
2026-02-19,CyberGlobal,Cybersecurity,cybergl.com,Yes - MSP Partner,Lifetime access model,TBD,TBD,No,50-200,National,"All-inclusive cybersecurity for MSPs",Prospect
2026-02-19,Acumen Cyber,Cybersecurity,acumencyber.com,Yes - Channel Partner,TBD,TBD,TBD,No,50-200,National,"Enterprise-grade security for MSPs/VARs",Prospect
