Company Name,Service Category,Location,Referral Program Status,Fee Structure,Estimated Deal Size,Contact Status,Notes
Arctic Wolf,IT/Cybersecurity,USA,Active MSP Partner Program,Commission + recurring,$5K-20K per client,Research,Expanded MSP Aurora Endpoint Defense program
TinyPilot,IT/Remote Access,USA,MSP Partner Program,Commission-based,$1K-5K,Research,New partner program launch
Print Partner (via r/msp),IT/Print Management,USA,Active - pays on every deal,Commission + recurring,$500-2K,Research,Promotes client retention model
Logicalis,IT/Managed Services,Global,Partner Program,Commission-based,$10K-50K,Research,Enterprise MSP - high value deals
AHEAD,IT/Cloud Services,USA,Partner Program,Referral fees,$5K-25K,Research,Cloud modernization focus
ExtensisHR,HR/PEO,USA,Partner Referrals,10-15% first year,$3K-8K,Research,PEO services - co-employment model
Helpside,HR/Payroll,USA,Partner Program,Commission,$2K-6K,Research,Utah-based regional focus
AlignPEO,HR/PEO Brokerage,USA,Referral Partner,Commission,$3K-10K,Research,PEO broker - matches to best provider
Justworks,HR/PEO,USA,Partner Program,Referral fees,$3K-8K,Research,Y Combinator backed - startup friendly
ADP TotalSource,HR/PEO,USA,Partner Program,Commission,$5K-15K,Research,Enterprise PEO - national scale
TriNet,HR/PEO,USA,Partner Program,Referral fees,$5K-15K,Research,Industry leading PEO
Insperity,HR/HR Services,USA,Partner Program,Commission,$4K-12K,Research,Full HR suite
Paychex,Payroll/HR,USA,Partner Program,Referral fees,$2K-8K,Research,Small-mid business focus
BearingPoint,Business Consulting,Europe/Global,Partner-Led Model,Project-based referral,10-20% project value,Research,Cross-border initiatives
Doeren Mayhew,Accounting/CPA,USA (Southeast),Acquisition Growth,Referral relationships,$5K-10K,Research,Recently acquired Dent Moses
Clarity Strategic Partners,HR/Payroll Consulting,USA,Partner Program,Consulting fees,$3K-8K,Research,Modernizes HR/payroll systems
Velan Bookkeeping,Accounting (White Label),USA,CPA Partnerships,White-label fees,$1K-5K,Research,Offshore bookkeeping for CPAs
The A.C.T. Group,Accounting/CPA,USA,Client Referrals,Standard fees,$3K-7K,Research,CPA firm focused on SMBs
Sortlist Marketing Partners,Marketing Agency,Europe,90% Referral Revenue,Agency referral fees,10-15% ACV,Research,Global agency network
Flite Digital,Marketing/Digital,USA,Partner Model,Performance fees,10-15% first year,Research,Data-driven marketing
Hostinger,Web Hosting,Global,Affiliate Program,Commission per sale,$50-200,Research,High volume - not ideal for B2B
Pipedrive,CRM/Sales,Global,Referral Partner,Commission,$500-2K,Research,Sales enablement - could refer to services
