Company,Funding Round,Amount,Date,Vertical,Location,Service Need,Estimated Budget,Priority,Notes
Taalas,Series A,$169M,Feb 19 2025,AI Chips,Toronto,"Accounting CFO IT","$150K-250K",HIGH,"AI chip startup taking on Nvidia - needs full finance function as they scale"
ZaiNar,Series A,$100M,Feb 19 2025,Spatial AI,Belmont CA,"Accounting CFO Legal","$100K-200K",HIGH,"9 years stealth to unicorn status - needs professional services for growth phase"
Jump,Series B,$80M,Feb 19 2025,AI FinTech,Salt Lake City,"Accounting CFO HR","$100K-200K",HIGH,"AI for financial advisors - rapid scaling to 27K advisors needs infrastructure"
Freeform,Series B,$67M,Feb 18 2025,AI Manufacturing,Los Angeles,"Accounting CFO IT","$75K-150K",HIGH,"AI-driven 3D metal printing - manufacturing ops need finance systems"
Onshore,Series B,$31M,Feb 18 2025,AI Tax Platform,New York,"IT HR","$50K-100K",MEDIUM,"AI tax platform (formerly SPRX) - actually a PARTNER prospect for referrals TO them"
Avantos,Series A,$25M,Feb 19 2025,AI FinTech,Unknown,"Accounting CFO","$40K-80K",MEDIUM,"AI-native operating system for financial advisors"
Stacks,Series A,$23M,Feb 19 2025,Agentic Finance,London,"Accounting CFO","$40K-80K",MEDIUM,"Agentic platform for enterprise finance - ironic need for outsourced accounting"
Portkey,Series A,$15M,Feb 19 2025,AI Developer Tools,Unknown,"Accounting HR","$25K-50K",LOW,"AI agent developer tools - early stage but funded"
Accrual,Series A,$75M,Feb 2025,FinTech/Accounting Automation,Unknown,"Legal IT","$50K-100K",MEDIUM,"From previous scan - accounting automation company with service needs"
Eudia,Series A,$105M,Feb 2025,Legal AI,Palo Alto,"Accounting CFO","$100K-200K",HIGH,"AI for in-house legal teams - rapid growth needs infrastructure"
