Partner Name,Vertical,Agreement Status,Referral Terms,Contact Person,Email,Phone,Date Signed,Notes
BBSI,PEO/HR/Payroll,Identified,Lifetime recurring commissions,Partner Team,partners@bbsi.com,N/A,Pending,Strong PEO with broker focus - immediate outreach candidate
HRDelivered,PEO/HR Services,Identified,Commission-based,Partner Team,partners@hrdelivered.com,N/A,Pending,Broker-centric partnership program
Green Lotus,Digital Marketing,Identified,10% monthly recurring,Partner Team,info@greenlotus.ca,N/A,Pending,Canadian agency with 10% lifetime commissions
Grandway Marketing,Web Design/SEO,Identified,Up to $1000 per referral,Partner Team,partners@grandwaymarketing.com,N/A,Pending,High-value single referral payouts
GrowME Marketing,Digital Marketing,Identified,25% commission,Affiliate Team,info@growmemarketing.ca,N/A,Pending,Highest commission rate found - 25%
SEO Discovery,SEO Services,Identified,Up to 25% commission,Partner Team,partners@seodiscovery.com,N/A,Pending,Strong SEO referral program
OpenPotion,Web Design,Identified,$300-1000 per referral,Partner Team,partners@openpotion.com,N/A,Pending,Web design specialist with flat fees
Defense.com,Cybersecurity/MSP,Identified,Commission-based,Partner Team,partners@defense.com,N/A,Pending,Exclusive MSP partner program
FortifyData,Cybersecurity,Identified,Commission-based,Partner Team,partners@fortifydata.com,N/A,Pending,Risk management focus
Intuit ProConnect,Tax Software,Identified,Up to $500 per referral,Referral Team,referrals@intuit.com,N/A,Pending,Professional tax software
Bell Legal Group,Business Law,Identified,Case-by-case,Partnership Team,info@belllegalgroup.com,N/A,Pending,Law firm partnership framework
JHensley Consulting,Business Consulting,Identified,$250-3500 per referral,Referral Team,info@jhensleyconsulting.com,N/A,Pending,Consulting with managed services focus
