Firm Name,Country,Type,AUM ($B),Stage Focus,Defense Relevance Score,Check Size Range,Key Contacts,Strategy Notes,Recent Activity,Website,LinkedIn,Contact Status,Next Steps
Speciale Invest,India,VC,0.075,Pre-Seed to Series A,92,$500K-$5M,Vishesh Rajaram; Arjun Rao,Deep tech defense/spacetech; 40+ portfolio companies,Fund III closed above target; $24M growth fund,specialeinvest.com,linkedin.com/company/specialeinvest,Not Contacted,Immediate outreach priority
Ekagrata,India,Defense VC,Unknown,Early to Growth,95,$1M-$10M,Unknown,Pure-play defense India focus; Make in India beneficiary,Requires additional research,Unknown,Unknown,Not Contacted,Research current fund status
Kalaari Capital,India,VC,0.7,Seed to Series C,85,$1M-$15M,Vani Kola,15+ year track record; aerospace/defense exposure,Aerospace and robotics portfolio,kalaari.com,linkedin.com/company/kalaari-capital,Not Contacted,Secondary outreach
3one4 Capital,India,VC,0.2,Seed to Series B,80,$500K-$8M,Unknown,Dual-use technology; enterprise + defense bridge,Active deep tech deal flow,3one4capital.com,linkedin.com/company/3one4-capital,Not Contacted,Tertiary outreach
pi Ventures,India,VC,0.05,Early Stage,78,$250K-$3M,Unknown,AI-first; robotics and automation focus,AI defense applications,pi-ventures.com,linkedin.com/company/pi-ventures,Not Contacted,Research team contacts
Vertex Holdings,Singapore,VC,0.5,Growth,88,$5M-$20M,Unknown,SE Asia defense tech hub; regional ecosystem,Active in Singapore defense tech,vertexholdings.com,linkedin.com/company/vertex-ventures,Not Contacted,Immediate outreach - Singapore connection
Temasek,Singapore,Sovereign Wealth,380,Growth to Buyout,90,$50M-$500M+,Unknown,Defense exposure through portfolio; long-term patient capital,Aerospace and defense services holdings,temasek.com.sg,linkedin.com/company/temasek,Not Contacted,Long-term relationship building
GIC,Singapore,Sovereign Wealth,700,Late Stage to Buyout,88,$100M-$1B+,Unknown,Industrial focus; defense manufacturing interest,Global industrial portfolio,gic.com.sg,linkedin.com/company/gic,Not Contacted,Long-term relationship building
SoftBank Vision Fund,Japan/Global,Growth Equity,100,Growth to Late Stage,82,$50M-$500M+,Unknown,Autonomous systems; robotics focus,Robotics and AI platform investments,softbank.jp,linkedin.com/company/softbank,Not Contacted,Monitor defense hesitation
Warburg Pincus India,USA/India,PE,85,Growth to Buyout,85,$25M-$200M+,Unknown,Industrial/manufacturing; India buyout capability,Established Mumbai presence,warburgpincus.com,linkedin.com/company/warburg-pincus,Not Contacted,Secondary outreach - India buyout
Carlyle Asia,USA/Asia,PE,425,Buyout to Growth,88,$50M-$500M+,Unknown,Global aerospace/defense expertise; Asia presence,Aerospace and defense services,carlyle.com,linkedin.com/company/the-carlyle-group,Not Contacted,Secondary outreach
KKR Asia,USA/Asia,PE,600,Buyout to Infrastructure,85,$100M-$1B+,Unknown,Infrastructure focus; defense applications,Regional Asia offices,kkr.com,linkedin.com/company/kkr,Not Contacted,Tertiary outreach
Bain Capital Asia,USA/Asia,PE,180,Buyout to Growth,80,$25M-$200M+,Unknown,Tech/industrial; operational improvement,baincapital.com,linkedin.com/company/bain-capital,Not Contacted,Tertiary outreach
General Atlantic,USA/Singapore,Growth Equity,85,Growth to Late Stage,82,$25M-$150M+,Unknown,Technology platforms; Singapore hub,Regional operations Singapore,generalatlantic.com,linkedin.com/company/general-atlantic,Not Contacted,Secondary outreach
Mubadala,UAE,Sovereign Wealth,300,Growth to Buyout,90,$50M-$500M+,Unknown,Aerospace track record; UAE defense priority,Defense technology and aerospace,mubadala.com,linkedin.com/company/mubadala,Not Contacted,Priority sovereign fund
ADIA,UAE,Sovereign Wealth,1000,All Stages,85,$100M-$1B+,Unknown,Defense allocation; diversified global portfolio,Long-term patient capital,adia.ae,linkedin.com/company/adia,Not Contacted,Long-term relationship
Saudi PIF,Saudi Arabia,Sovereign Wealth,900,Growth to Strategic,88,$100M-$1B+,Unknown,Vision 2030 defense localization,Strategic partnership model,pif.gov.sa,linkedin.com/company/saudi-pif,Not Contacted,Priority sovereign fund
Stellaris Venture Partners,India,VC,0.15,Early to Growth,75,$1M-$10M,Unknown,Enterprise technology; dual-use applications,Deep tech investments,stellarisvp.com,linkedin.com/company/stellaris-venture-partners,Not Contacted,Research team contacts
Athera Venture Partners,India,VC,0.2,Early Stage,74,$500K-$5M,Unknown,Deep technology focus; formerly Matrix India,Deep tech portfolio,atheravp.com,linkedin.com/company/athera-vp,Not Contacted,Research defense exposure
Chiratae Ventures,India,VC,0.5,Multi-stage,73,$1M-$15M,Unknown,Enterprise SaaS; technology,Defense enterprise software,chiratae.com,linkedin.com/company/chiratae-ventures,Not Contacted,Tertiary outreach
Info Edge Ventures,India,VC,0.1,Early to Growth,72,$250K-$5M,Unknown,Technology platforms,Defense tech platforms,infoedgeventures.com,linkedin.com/company/info-edge-ventures,Not Contacted,Research team
YourNest VC,India,VC,0.08,Early Stage,72,$250K-$3M,Unknown,B2B deep tech,B2B defense technology,yournest.in,linkedin.com/company/yournest,Not Contacted,Research team
Blume Ventures,India,VC,0.2,Seed to Series A,70,$250K-$5M,Unknown,Early-stage deep tech,Early defense startups,blume.vc,linkedin.com/company/blume-ventures,Not Contacted,Research team
Accel India,USA/India,VC,5,Multi-stage,78,$1M-$25M+,Unknown,Enterprise technology,Helsing investor (global),accel.com,linkedin.com/company/accel,Not Contacted,Leverage Helsing connection
Sequoia India / Peak XV,USA/India,VC,10,All Stages,80,$1M-$100M+,Unknown,Technology platforms,Defense tech interest; large platform,peakxv.com,linkedin.com/company/peak-xv-partners,Not Contacted,Secondary outreach
Monk's Hill Ventures,Singapore,VC,0.2,Early to Growth,75,$1M-$8M,Unknown,Singapore deep tech,Defense-adjacent technology,monkshill.com,linkedin.com/company/monk's-hill-ventures,Not Contacted,Research defense exposure
Openspace Ventures,Southeast Asia,VC,0.3,Early to Growth,74,$1M-$10M,Unknown,Southeast Asia technology,Regional tech investments,openspace.vc,linkedin.com/company/openspace-ventures,Not Contacted,Research defense exposure
